"VISION_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","ƒ´∏ﬁ∂Û ¡æ«’ ∞·∞˙","¿Œº≠∆Æ NG »Æ¿Œ","∞®«’∫Œ ∞·∞˙","ƒ≥∫Ò∆º ∞·∞˙","¡¢√À∫Œ ∞∏_01","¡¢√À∫Œ ∞∏_02","¡¢√À∫Œ ∞∏_03","¡¢√À∫Œ ∞∏_04","¡¢√À∫Œ ∞∏_05","¡¢√À∫Œ ∞∏_06","¡¢√À∫Œ ∞∏_07","¡¢√À∫Œ ∞∏_08","¡¢√À∫Œ ∞∏_09","¡¢√À∫Œ ∞∏_10","¡¢√À∫Œ ∞∏_11","¡¢√À∫Œ ∞∏_12","¡¢√À∫Œ ∞∏_13","¡¢√À∫Œ ∞∏_14","¡¢√À∫Œ ∞∏_15","¡¢√À∫Œ ∞∏_16","¡¢√À∫Œ ∞∏_17","¡¢√À∫Œ ∞∏_18","¡¢√À∫Œ ∞∏_19","¡¢√À∫Œ ∞∏_20","¡¢√À∫Œ ∞∏_21","¡¢√À∫Œ ∞∏_22","¡¢√À∫Œ ∞∏_23","¡¢√À∫Œ ∞∏_24","¡¢√À∫Œ ∞∏_25","¡¢√À∫Œ ∞∏_26","¡¢√À∫Œ ∞∏_27","¡¢√À∫Œ ∞∏_28","¡¢√À∫Œ ∞∏_29","¡¢√À∫Œ ∞∏_30","¡¢√À∫Œ ∞∏_31","¡¢√À∫Œ ∞∏_32","¡¢√À∫Œ ∞∏_33","¡¢√À∫Œ ∞∏_34","¡¢√À∫Œ ∞∏_35","¡¢√À∫Œ ∞∏_36","¡¢√À∫Œ ∞∏_37","¡¢√À∫Œ ∞∏_38","¡¢√À∫Œ ∞∏_39","¡¢√À∫Œ ∞∏_40","¡¢√À∫Œ ∞∏_41","¡¢√À∫Œ ∞∏_42","¡¢√À∫Œ ∞∏_43","¡¢√À∫Œ ∞∏_44","¡¢√À∫Œ ∞∏_45","¡¢√À∫Œ ∞∏_46","¡¢√À∫Œ ∞∏_47","¡¢√À∫Œ ∞∏_48","¡¢√À∫Œ ∞∏_49","¡¢√À∫Œ ∞∏_50","¡¢√À∫Œ ∞∏_51","¡¢√À∫Œ ∞∏_52","¡¢√À∫Œ ∞∏_53","¡¢√À∫Œ ∞∏_54","¡¢√À∫Œ ∞∏_55","¡¢√À∫Œ ∞∏_56","¡¢√À∫Œ ∞∏_57","¡¢√À∫Œ ∞∏_58","¡¢√À∫Œ ∞∏_59","¡¢√À∫Œ ∞∏_60","¡¢√À∫Œ ∞∏_61","¡¢√À∫Œ ∞∏_62","¡¢√À∫Œ ∞∏_63","¡¢√À∫Œ ∞∏_64","¡¢√À∫Œ ∞∏_65","¡¢√À∫Œ ∞∏_66","¡¢√À∫Œ ∞∏_67","¡¢√À∫Œ ∞∏_68","¡¢√À∫Œ ∞∏_69","¡¢√À∫Œ ∞∏_70","¡¢√À∫Œ ∞∏_71","¡¢√À∫Œ ∞∏_72","¡¢√À∫Œ ∞∏_73","¡¢√À∫Œ ∞∏_74","¡¢√À∫Œ ∞∏_75","¡¢√À∫Œ ∞∏_76","¡¢√À∫Œ ∞∏_77","¡¢√À∫Œ ∞∏_78","≥ªø‹√¯ ∞®«’∫Œ_01","≥ªø‹√¯ ∞®«’∫Œ_02","≥ªø‹√¯ ∞®«’∫Œ_03","≥ªø‹√¯ ∞®«’∫Œ_04","≥ªø‹√¯ ∞®«’∫Œ_05","≥ªø‹√¯ ∞®«’∫Œ_06","≥ªø‹√¯ ∞®«’∫Œ_07","≥ªø‹√¯ ∞®«’∫Œ_08","≥ªø‹√¯ ∞®«’∫Œ_09","≥ªø‹√¯ ∞®«’∫Œ_10","≥ªø‹√¯ ∞®«’∫Œ_11","≥ªø‹√¯ ∞®«’∫Œ_12","≥ªø‹√¯ ∞®«’∫Œ_13","≥ªø‹√¯ ∞®«’∫Œ_14","≥ªø‹√¯ ∞®«’∫Œ_15","≥ªø‹√¯ ∞®«’∫Œ_16","≥ªø‹√¯ ∞®«’∫Œ_17","≥ªø‹√¯ ∞®«’∫Œ_18","≥ªø‹√¯ ∞®«’∫Œ_19","≥ªø‹√¯ ∞®«’∫Œ_20","≥ªø‹√¯ ∞®«’∫Œ_21","≥ªø‹√¯ ∞®«’∫Œ_22","≥ªø‹√¯ ∞®«’∫Œ_23","≥ªø‹√¯ ∞®«’∫Œ_24","≥ªø‹√¯ ∞®«’∫Œ_25","≥ªø‹√¯ ∞®«’∫Œ_26","≥ªø‹√¯ ∞®«’∫Œ_27","≥ªø‹√¯ ∞®«’∫Œ_28","≥ªø‹√¯ ∞®«’∫Œ_29","≥ªø‹√¯ ∞®«’∫Œ_30","≥ªø‹√¯ ∞®«’∫Œ_31","≥ªø‹√¯ ∞®«’∫Œ_32","≥ªø‹√¯ ∞®«’∫Œ_33","≥ªø‹√¯ ∞®«’∫Œ_34","≥ªø‹√¯ ∞®«’∫Œ_35","≥ªø‹√¯ ∞®«’∫Œ_36","≥ªø‹√¯ ∞®«’∫Œ_37","≥ªø‹√¯ ∞®«’∫Œ_38","≥ªø‹√¯ ∞®«’∫Œ_39","≥ªø‹√¯ ∞®«’∫Œ_40","≥ªø‹√¯ ∞®«’∫Œ_41","≥ªø‹√¯ ∞®«’∫Œ_42","≥ªø‹√¯ ∞®«’∫Œ_43","≥ªø‹√¯ ∞®«’∫Œ_44","≥ªø‹√¯ ∞®«’∫Œ_45","≥ªø‹√¯ ∞®«’∫Œ_46","≥ªø‹√¯ ∞®«’∫Œ_47","≥ªø‹√¯ ∞®«’∫Œ_48","≥ªø‹√¯ ∞®«’∫Œ_49","≥ªø‹√¯ ∞®«’∫Œ_50","≥ªø‹√¯ ∞®«’∫Œ_51","≥ªø‹√¯ ∞®«’∫Œ_52","≥ªø‹√¯ ∞®«’∫Œ_53","≥ªø‹√¯ ∞®«’∫Œ_54","≥ªø‹√¯ ∞®«’∫Œ_55","≥ªø‹√¯ ∞®«’∫Œ_56","≥ªø‹√¯ ∞®«’∫Œ_57","≥ªø‹√¯ ∞®«’∫Œ_58","≥ªø‹√¯ ∞®«’∫Œ_59","≥ªø‹√¯ ∞®«’∫Œ_60","≥ªø‹√¯ ∞®«’∫Œ_61","≥ªø‹√¯ ∞®«’∫Œ_62","≥ªø‹√¯ ∞®«’∫Œ_63","≥ªø‹√¯ ∞®«’∫Œ_64","≥ªø‹√¯ ∞®«’∫Œ_65","≥ªø‹√¯ ∞®«’∫Œ_66","≥ªø‹√¯ ∞®«’∫Œ_67","≥ªø‹√¯ ∞®«’∫Œ_68","≥ªø‹√¯ ∞®«’∫Œ_69","≥ªø‹√¯ ∞®«’∫Œ_70","≥ªø‹√¯ ∞®«’∫Œ_71","≥ªø‹√¯ ∞®«’∫Œ_72","≥ªø‹√¯ ∞®«’∫Œ_73","≥ªø‹√¯ ∞®«’∫Œ_74","≥ªø‹√¯ ∞®«’∫Œ_75","≥ªø‹√¯ ∞®«’∫Œ_76","≥ªø‹√¯ ∞®«’∫Œ_77","≥ªø‹√¯ ∞®«’∫Œ_78","»¶µÂ¥ŸøÓ ∞∏_01","»¶µÂ¥ŸøÓ ∞∏_02","DM60324","DM60326","DM60328","DM60330","DM60332","DM60334","DM60336","DM60338","DM60340","DM60342","DM60344","DM60346","DM60348","DM60350","DM60352","DM60354","DM60356","DM60358","DM60360","DM60362"
123,2022/07/23,09:51:56,"C227230020      ","N227226025      ",0,0,0,258,258,258,257,257,257,250,249,250,249,249,250,257,256,258,258,257,256,249,248,249,249,251,250,257,258,256,256,253,252,248,249,245,247,244,245,242,243,240,255,253,252,260,262,260,262,260,261,251,250,251,250,249,251,259,258,258,260,258,259,251,249,252,250,250,250,257,258,257,261,259,260,250,251,-2147483648,250,251,249,1141,1137,1135,1134,1134,1134,1131,1132,1132,1130,1131,1129,1131,1129,1129,1131,1132,1129,1129,1130,1131,1130,1131,1129,1131,1130,1129,1130,1131,1130,1130,1131,1132,1131,1133,-2147483648,1135,1136,1135,665,664,664,655,659,660,655,660,659,666,666,666,667,666,666,658,658,659,656,660,658,664,666,661,664,663,662,655,655,655,651,654,653,661,661,609,660,661,660,977,994,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
124,2022/07/23,09:51:56,"C227230020      ","N227226025      ",1,1,1,251,254,250,250,250,251,258,257,258,257,257,257,249,250,249,249,249,249,257,257,257,258,257,257,249,252,248,249,250,250,249,250,247,247,244,244,240,241,239,264,261,263,252,250,252,250,249,250,258,258,255,260,257,259,249,249,249,248,250,249,256,256,257,260,256,258,250,249,249,249,249,249,256,259,257,260,259,259,1140,1140,1141,1138,1138,1135,1136,1135,1134,1133,1133,1133,1130,1132,1131,1129,1130,1129,1130,1130,1128,1129,1129,1129,1128,1128,1128,1128,1128,1127,1129,1130,1129,1130,1132,1133,1133,1134,1136,658,659,658,665,670,669,669,668,667,660,660,660,658,660,658,665,665,665,666,664,662,656,657,656,653,656,654,661,661,660,661,659,660,653,652,653,656,660,661,1005,996,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
125,2022/07/23,09:51:57,"C227230020      ","N227226025      ",1,1,1,259,257,259,258,258,258,249,251,251,250,249,249,256,257,258,258,258,256,249,251,249,250,249,250,258,258,256,258,252,253,248,249,245,246,243,244,240,241,238,252,252,254,263,262,261,263,261,262,251,249,251,250,250,249,258,259,258,261,257,260,249,247,250,248,250,249,259,259,257,261,258,259,251,249,250,249,249,249,1141,1140,1139,1140,1139,1137,1135,1136,1136,1134,1134,1132,1133,1132,1132,1134,1134,1133,1132,1133,1134,1132,1132,1131,1132,1132,1130,1134,1133,1133,1132,1133,1132,1133,1134,1133,1134,1136,1136,666,664,662,655,660,660,658,660,660,668,668,667,667,666,665,659,659,659,658,660,659,666,668,665,665,663,663,656,656,656,653,657,655,662,664,662,664,663,663,995,1000,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
126,2022/07/23,09:51:57,"C227230020      ","N227226025      ",1,1,1,253,252,251,251,250,251,259,258,259,258,258,258,249,250,252,252,249,252,257,257,257,257,259,258,251,253,251,251,251,251,254,254,250,251,247,247,242,244,241,257,257,258,247,248,247,246,245,246,258,259,257,259,257,259,248,247,247,248,248,247,256,257,258,259,258,258,250,248,249,247,249,248,259,260,259,261,260,259,1137,1138,1137,1135,1135,1133,1134,1132,1131,1134,1133,1132,1131,1131,1131,1130,1131,1131,1132,1130,1130,1132,1132,1132,1130,1132,1131,1131,1130,1130,1132,1133,1132,1133,1135,1135,1136,1138,1138,660,661,659,668,671,670,671,670,667,658,656,659,657,659,656,664,666,665,665,664,664,656,656,655,653,655,653,660,661,661,662,661,661,652,651,652,654,659,657,996,992,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
127,2022/07/23,09:51:57,"C227230020      ","N227226025      ",1,1,1,258,258,259,259,259,258,250,250,250,250,249,250,258,257,258,258,258,257,251,251,251,251,251,252,258,258,255,256,251,252,247,248,245,246,242,244,241,242,238,250,248,250,258,259,259,260,258,260,251,250,250,249,248,249,256,255,256,257,255,256,247,246,246,247,248,247,257,257,257,260,257,259,249,249,250,249,250,251,1138,1136,1135,1133,1134,1133,1131,1132,1132,1130,1130,1130,1130,1129,1129,1130,1130,1129,1129,1130,1130,1129,1129,1127,1129,1129,1128,1130,1130,1130,1130,1131,1132,1131,1133,1133,1135,1137,1136,668,667,666,657,661,661,660,662,658,667,667,667,668,668,667,660,660,661,660,661,660,667,668,666,666,665,665,656,656,656,654,656,655,662,663,662,663,663,662,975,995,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
128,2022/07/23,09:51:58,"C227230020      ","N227226025      ",1,1,1,254,253,252,253,252,252,259,258,259,258,258,258,251,251,251,250,249,251,258,257,258,257,258,258,250,254,249,251,251,252,249,250,246,247,243,244,240,241,237,261,260,261,250,248,249,248,250,247,258,260,258,260,258,259,249,247,248,247,247,248,255,255,256,257,257,258,248,247,248,247,247,247,255,256,257,258,257,258,1140,1139,1139,1138,1137,1134,1136,1135,1132,1133,1133,1133,1131,1132,1131,1130,1130,1128,1130,1129,1128,1129,1129,1129,1126,1128,1128,1128,1129,1127,1129,1128,1129,1130,1132,1133,1133,1135,1137,660,660,660,667,672,670,672,669,668,660,658,660,658,660,658,666,667,665,666,665,664,657,657,656,655,656,654,663,663,662,663,661,661,654,654,655,654,658,658,1004,996,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
129,2022/07/23,09:51:58,"C227230020      ","N227226025      ",1,1,1,258,257,259,257,257,256,249,249,249,249,249,249,258,256,257,257,258,257,250,249,249,249,249,250,258,258,257,258,253,253,248,249,245,246,243,243,240,242,239,250,250,248,256,257,256,259,256,257,247,246,248,246,246,247,254,254,254,256,254,256,246,245,246,246,246,249,253,255,253,256,255,256,246,244,246,246,245,246,1141,1139,1136,1135,1136,1134,1133,1133,1133,1130,1132,1131,1132,1131,1131,1131,1130,1131,1129,1131,1131,1130,1130,1129,1131,1130,1128,1130,1130,1130,1129,1130,1131,1131,1132,1131,1133,1133,1135,668,666,667,657,662,663,660,662,662,669,670,669,670,670,668,660,661,661,660,661,660,668,668,666,666,666,664,659,657,658,656,658,656,665,666,664,665,665,665,993,995,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
130,2022/07/23,09:51:58,"C227230020      ","N227226025      ",1,1,1,248,249,248,251,248,251,257,256,257,256,257,255,249,249,249,250,248,250,256,256,257,256,257,257,248,248,248,249,249,249,255,255,252,253,249,249,244,245,242,259,258,259,248,246,249,246,248,246,252,253,253,256,253,255,244,243,244,245,244,245,252,253,254,256,254,256,245,245,245,244,245,244,254,256,254,257,254,255,1137,1138,1137,1136,1133,1133,1135,1133,1132,1132,1133,1133,1132,1132,1131,1130,1131,1130,1133,1133,1132,1132,1132,1133,1131,1132,1131,1130,1130,1130,1132,1132,1133,1133,1134,1135,1134,1135,1136,664,663,663,667,671,669,670,669,668,662,662,662,661,662,660,668,669,668,668,667,667,659,659,658,657,659,658,667,669,667,664,663,663,654,653,656,660,664,665,991,991,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
131,2022/07/23,09:51:59,"C227230020      ","N227226025      ",1,1,1,257,255,257,255,257,256,248,248,247,248,247,247,255,254,255,256,256,254,246,247,248,248,247,249,255,255,255,255,252,252,246,248,244,245,243,244,241,244,240,250,250,251,258,258,255,259,257,259,250,248,247,246,247,248,255,255,254,257,255,258,245,245,249,246,246,247,256,257,258,260,258,258,250,251,249,246,249,249,1138,1137,1136,1134,1134,1131,1131,1131,1132,1131,1130,1129,1130,1129,1129,1129,1131,1131,1129,1131,1131,1129,1130,1129,1130,1130,1128,1129,1130,1130,1130,1131,1131,1131,1132,1132,1134,1136,1137,668,666,664,657,662,663,661,662,660,669,670,670,670,669,668,660,661,662,660,662,660,668,669,665,668,665,664,656,656,656,654,656,655,662,661,663,665,662,664,986,991,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
132,2022/07/23,09:51:59,"C227230020      ","N227226025      ",1,1,1,253,253,251,253,253,253,259,259,260,258,259,258,251,252,250,250,249,250,257,257,258,257,259,258,251,250,250,250,250,251,249,249,246,246,243,243,239,241,238,263,261,263,253,250,251,250,251,250,256,258,257,260,258,259,249,249,248,246,248,249,257,257,256,259,256,258,249,248,249,249,249,249,257,257,257,259,258,259,1141,1140,1140,1138,1138,1135,1136,1135,1133,1133,1132,1133,1132,1132,1133,1131,1132,1129,1130,1130,1127,1130,1130,1130,1129,1128,1129,1129,1129,1127,1129,1129,1129,1131,1133,1133,1133,1135,1137,658,660,657,665,671,670,671,668,668,661,661,661,659,661,659,668,667,666,667,665,664,657,657,657,654,657,656,663,663,662,662,663,661,654,656,655,655,659,660,1003,1000,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
133,2022/07/23,09:51:59,"C227230020      ","N227226025      ",1,1,1,260,259,260,258,259,257,251,251,250,251,250,251,258,258,259,258,258,259,251,252,250,251,251,252,259,259,256,257,253,252,248,249,245,246,242,243,239,241,238,253,251,250,257,259,257,261,257,259,247,247,248,246,246,247,254,256,254,258,254,257,247,248,248,248,247,249,254,255,254,258,256,256,247,246,249,248,248,248,1140,1138,1136,1137,1135,1135,1134,1134,1134,1132,1132,1130,1134,1131,1129,1131,1131,1132,1130,1131,1131,1130,1132,1130,1131,1130,1129,1130,1130,1130,1129,1130,1131,1132,1133,1132,1134,1135,1135,665,665,664,658,662,663,661,663,661,669,670,668,670,669,667,661,660,661,659,662,660,667,667,666,666,666,663,657,657,657,656,657,657,665,665,663,664,664,663,991,996,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
134,2022/07/23,09:52:00,"C227230020      ","N227226025      ",1,1,1,251,251,249,251,250,250,258,257,258,257,258,257,249,249,249,250,250,250,257,257,258,257,259,258,251,251,251,251,251,251,254,255,251,252,249,249,243,244,240,263,259,262,251,253,252,250,252,250,256,258,256,260,257,258,249,247,249,248,249,250,254,255,255,258,257,258,248,249,249,248,250,249,255,257,255,258,257,257,1138,1138,1137,1135,1135,1134,1135,1133,1133,1132,1133,1133,1132,1132,1130,1130,1131,1131,1133,1133,1131,1132,1133,1132,1131,1133,1133,1132,1131,1131,1132,1133,1133,1134,1135,1136,1134,1137,1137,659,659,655,664,667,666,668,665,664,659,659,660,657,660,655,664,665,665,665,665,662,657,657,656,655,656,654,662,661,660,662,660,659,654,653,655,655,657,660,992,991,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
135,2022/07/23,09:52:00,"C227230020      ","N227226025      ",1,1,1,259,258,258,257,257,256,249,249,250,250,249,250,257,257,258,257,257,256,248,249,249,249,249,249,257,257,255,255,251,251,246,248,244,246,242,244,241,242,239,253,251,252,257,259,257,260,258,259,248,250,249,248,251,249,256,257,256,259,256,258,247,247,251,247,249,250,256,257,255,259,257,258,249,252,250,250,248,249,1138,1135,1135,1131,1131,1131,1130,1131,1131,1130,1130,1129,1130,1129,1128,1129,1130,1130,1129,1129,1130,1129,1129,1129,1129,1128,1128,1129,1129,1129,1129,1130,1130,1131,1132,1132,1134,1134,1136,664,664,664,655,660,660,659,661,660,669,668,668,668,665,665,659,660,660,657,661,659,667,666,664,665,664,662,656,656,656,654,656,655,662,661,661,663,662,661,978,992,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
136,2022/07/23,09:52:00,"C227230020      ","N227226025      ",1,1,1,252,252,252,251,251,252,258,258,259,258,258,257,250,251,251,251,250,249,257,256,258,257,258,258,251,250,249,251,250,251,249,250,246,247,243,244,240,241,237,262,260,260,251,250,250,250,250,252,255,257,254,258,256,256,248,247,247,248,247,250,255,254,255,257,255,257,246,247,249,248,250,249,255,256,256,259,257,258,1140,1140,1138,1137,1137,1135,1135,1135,1134,1132,1131,1131,1130,1131,1130,1129,1129,1127,1130,1129,1128,1127,1127,1128,1128,1128,1128,1128,1128,1127,1129,1128,1129,1130,1130,1132,1132,1133,1135,658,660,659,665,671,669,670,668,667,661,660,661,660,661,660,666,667,666,666,665,663,656,657,657,655,657,654,663,663,662,662,660,661,655,654,655,654,657,659,1000,993,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
137,2022/07/23,09:52:01,"C227230020      ","N227226025      ",1,1,1,259,258,260,258,259,257,250,250,250,251,250,251,258,256,259,258,258,258,250,251,250,251,250,250,258,258,256,256,252,253,247,248,244,246,242,243,240,241,237,253,252,252,259,258,258,261,258,260,248,248,250,248,248,250,253,257,253,257,255,256,246,245,247,247,247,248,254,257,253,258,254,258,248,248,248,246,247,248,1141,1139,1137,1137,1136,1136,1134,1134,1133,1131,1132,1130,1132,1132,1130,1131,1130,1131,1130,1131,1130,1129,1129,1128,1130,1130,1129,1129,1130,1130,1129,1130,1130,1131,1133,1132,1133,1134,1135,665,664,662,656,660,661,659,661,659,668,668,666,669,665,664,660,659,660,659,661,660,667,668,665,665,664,663,657,656,658,655,657,656,664,663,664,665,663,663,995,1002,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
138,2022/07/23,09:52:01,"C227230020      ","N227226025      ",1,1,1,250,251,250,251,250,251,258,257,258,257,259,257,250,250,248,250,249,251,258,257,258,257,259,258,250,251,250,252,251,252,254,255,251,252,248,248,243,245,241,264,263,263,256,252,252,254,251,253,257,258,257,261,260,259,251,248,251,249,250,251,257,259,258,260,258,259,249,253,250,250,251,249,257,259,257,260,257,258,1139,1139,1137,1137,1135,1133,1136,1135,1133,1134,1134,1134,1133,1133,1132,1131,1132,1131,1134,1133,1132,1134,1133,1133,1131,1133,1132,1133,1132,1132,1133,1135,1133,1135,1135,1136,1136,1137,1138,657,657,654,662,666,665,664,665,664,658,659,659,653,657,655,663,665,664,665,664,664,656,654,655,652,655,652,661,658,660,660,660,660,652,652,654,656,658,660,993,991,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
139,2022/07/23,09:52:01,"C227230020      ","N227226025      ",1,1,1,257,257,257,256,256,256,248,248,247,247,248,249,255,256,257,256,255,255,248,248,247,249,248,249,257,256,255,256,252,252,247,248,245,246,243,244,241,243,240,252,253,253,258,259,259,261,260,259,250,250,249,249,249,250,257,258,255,258,256,258,248,246,249,248,249,248,257,260,258,261,258,259,251,250,251,251,251,250,1138,1136,1134,1131,1133,1132,1131,1132,1131,1130,1130,1128,1130,1129,1128,1129,1129,1130,1128,1129,1130,1128,1130,1127,1130,1129,1128,1129,1130,1130,1129,1130,1130,1131,1132,1131,1134,1135,1135,665,664,663,656,659,660,658,660,660,667,666,667,668,667,666,658,658,659,657,660,657,665,666,664,664,663,662,654,652,655,651,655,648,660,662,659,659,660,660,975,991,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
140,2022/07/23,09:52:01,"C227230020      ","N227226025      ",1,1,1,251,251,250,250,248,250,257,256,257,256,256,256,249,248,249,249,247,249,255,256,256,256,257,256,250,249,249,250,249,251,250,251,247,248,244,245,241,242,239,263,260,261,254,251,250,249,250,249,258,259,256,260,257,258,248,251,248,248,247,249,256,257,257,259,257,258,249,248,250,249,250,250,257,258,257,260,258,259,1141,1140,1138,1137,1137,1135,1137,1135,1132,1133,1133,1133,1131,1131,1132,1130,1129,1128,1129,1129,1128,1128,1128,1129,1128,1128,1129,1128,1128,1127,1130,1129,1129,1131,1132,1133,1133,1134,1136,659,660,660,665,670,670,670,669,666,660,660,660,658,661,660,666,664,665,665,664,663,656,656,656,653,656,653,661,662,659,660,659,660,652,652,654,657,659,660,1002,1007,0,"","?","","","","","?","","","","","U","","","",0,0,0,0,0
141,2022/07/23,09:52:02,"C227230020      ","N227226025      ",1,1,1,257,256,257,255,255,255,248,249,249,248,247,249,255,256,257,256,257,255,248,247,247,248,247,248,256,254,255,256,252,252,248,249,245,246,242,243,239,241,238,251,250,249,258,257,258,260,257,258,246,246,248,244,245,246,256,257,255,257,256,257,247,247,248,246,248,247,255,257,256,258,256,257,248,247,249,247,248,247,1140,1138,1137,1136,1135,1135,1133,1134,1132,1131,1131,1130,1131,1130,1130,1131,1131,1131,1129,1129,1131,1130,1130,1128,1129,1129,1129,1130,1130,1130,1130,1130,1130,1130,1132,1132,1133,1135,1136,666,665,665,657,661,661,660,662,661,669,670,668,670,668,668,660,659,660,657,659,658,667,666,665,665,664,664,657,655,657,655,657,655,663,666,665,664,664,664,992,1003,0,"","?","","","","","?","","","","","V","","","",0,0,0,0,0
142,2022/07/23,09:52:02,"C227230020      ","N227226025      ",1,1,1,252,250,251,250,250,251,257,257,257,256,257,257,250,250,249,250,249,250,257,257,257,258,258,258,249,249,250,250,249,251,252,253,249,249,246,246,242,243,239,259,257,259,248,247,249,248,247,245,253,255,254,256,253,255,245,244,244,243,244,244,253,253,252,257,255,256,247,249,246,245,247,245,252,253,251,255,252,253,1137,1138,1137,1135,1135,1132,1135,1132,1132,1131,1132,1133,1129,1131,1130,1129,1130,1129,1131,1130,1129,1130,1130,1130,1129,1129,1130,1130,1130,1129,1131,1131,1131,1132,1132,1134,1133,1135,1137,657,663,657,667,671,668,670,669,669,661,661,661,660,662,659,668,669,668,669,668,667,658,658,658,655,657,656,663,661,663,664,662,663,656,656,657,659,663,665,995,993,0,"","?","","","","","?","","","","","W","","","",0,0,0,0,0
143,2022/07/23,09:52:02,"C227230020      ","N227226025      ",1,1,1,259,259,259,258,259,257,250,250,249,250,250,249,257,257,258,258,258,256,248,249,250,250,250,250,258,257,254,255,251,251,245,247,244,245,242,244,241,242,239,251,251,249,256,256,256,258,257,257,247,246,248,248,248,245,253,254,249,255,253,253,243,242,245,244,246,244,252,253,251,256,253,253,245,243,246,246,246,244,1138,1137,1135,1134,1134,1133,1130,1131,1130,1130,1131,1128,1130,1131,1128,1130,1130,1130,1129,1129,1130,1128,1129,1128,1130,1130,1127,1129,1129,1129,1129,1130,1131,1131,1132,1131,1134,1136,1136,667,667,667,660,665,665,662,665,661,672,673,670,670,670,670,663,663,665,664,664,664,670,670,669,669,668,668,660,659,659,657,660,659,665,666,664,665,664,665,979,991,0,"","?","","","","","?","","","","","X","","","",0,0,0,0,0
144,2022/07/23,09:52:03,"C227230020      ","N227226025      ",0,0,0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,"","?","","","","","?","","","","","Q","","","",0,0,0,0,0
