datatime,powerusage
2022-7-22 13:47:20,11
2022-7-22 13:47:20,16
2022-7-22 13:47:21,16
2022-7-22 13:47:21,12
2022-7-22 13:47:21,9
2022-7-22 13:47:22,10
2022-7-22 13:47:22,18
2022-7-22 13:47:22,10
2022-7-22 13:47:23,21
2022-7-22 13:47:23,16
2022-7-22 13:47:23,13
2022-7-22 13:47:24,8
2022-7-22 13:47:24,10
2022-7-22 13:47:24,16
2022-7-22 13:47:25,12
2022-7-22 13:47:25,10
2022-7-22 13:47:25,11
2022-7-22 13:47:26,15
2022-7-22 13:47:26,10
2022-7-22 13:47:26,7
2022-7-22 13:47:27,12
2022-7-22 13:47:27,12
2022-7-22 13:47:27,17
2022-7-22 13:47:28,11
2022-7-22 13:47:28,16
2022-7-22 13:47:28,17
2022-7-22 13:47:29,11
2022-7-22 13:47:29,10
2022-7-22 13:47:30,13
2022-7-22 13:47:30,17
2022-7-22 13:47:30,13
2022-7-22 13:47:31,11
2022-7-22 13:47:31,15
2022-7-22 13:47:31,15
2022-7-22 13:47:32,8
2022-7-22 13:47:32,13
2022-7-22 13:47:32,13
2022-7-22 13:47:33,11
2022-7-22 13:47:33,16
2022-7-22 13:47:33,11
2022-7-22 13:47:34,14
2022-7-22 13:47:34,15
2022-7-22 13:47:34,13
2022-7-22 13:47:35,13
2022-7-22 13:47:35,14
2022-7-22 13:47:35,10
2022-7-22 13:47:36,11
2022-7-22 13:47:36,18
2022-7-22 13:47:36,18
2022-7-22 13:47:37,15
2022-7-22 13:47:37,6
2022-7-22 13:47:37,14
2022-7-22 13:47:38,18
2022-7-22 13:47:38,15
2022-7-22 13:47:38,18
2022-7-22 13:47:39,17
2022-7-22 13:47:39,13
2022-7-22 13:47:39,12
2022-7-22 13:47:40,13
2022-7-22 13:47:40,14
2022-7-22 13:47:40,13
2022-7-22 13:47:41,12
2022-7-22 13:47:41,15
2022-7-22 13:47:41,15
2022-7-22 13:47:42,12
2022-7-22 13:47:42,9
2022-7-22 13:47:42,16
2022-7-22 13:47:43,14
2022-7-22 13:47:43,16
2022-7-22 13:47:43,14
2022-7-22 13:47:44,17
2022-7-22 13:47:44,16
2022-7-22 13:47:44,13
2022-7-22 13:47:45,9
2022-7-22 13:47:45,9
2022-7-22 13:47:46,15
2022-7-22 13:47:46,10
2022-7-22 13:47:46,10
2022-7-22 13:47:47,15
2022-7-22 13:47:47,12
2022-7-22 13:47:47,9
2022-7-22 13:47:48,14
2022-7-22 13:47:48,12
2022-7-22 13:47:48,12
2022-7-22 13:47:49,12
2022-7-22 13:47:49,14
2022-7-22 13:47:49,16
2022-7-22 13:47:50,15
2022-7-22 13:47:50,9
2022-7-22 13:47:50,8
2022-7-22 13:47:51,11
2022-7-22 13:47:51,14
2022-7-22 13:47:51,11
2022-7-22 13:47:52,12
2022-7-22 13:47:52,15
2022-7-22 13:47:52,10
2022-7-22 13:47:53,8
2022-7-22 13:47:53,10
2022-7-22 13:47:53,12
2022-7-22 13:47:54,12
2022-7-22 13:47:54,17
2022-7-22 13:47:54,17
2022-7-22 13:47:55,10
2022-7-22 13:47:55,9
2022-7-22 13:47:55,13
2022-7-22 13:47:56,12
2022-7-22 13:47:56,12
2022-7-22 13:47:56,13
2022-7-22 13:47:57,14
2022-7-22 13:47:57,15
2022-7-22 13:47:57,11
2022-7-22 13:47:58,7
2022-7-22 13:47:58,13
2022-7-22 13:47:58,13
2022-7-22 13:47:59,13
2022-7-22 13:47:59,12
2022-7-22 13:47:59,18
2022-7-22 13:48:0,16
2022-7-22 13:48:0,13
2022-7-22 13:48:0,6
2022-7-22 13:48:1,10
2022-7-22 13:48:1,11
2022-7-22 13:48:1,12
2022-7-22 13:48:2,13
2022-7-22 13:48:2,13
2022-7-22 13:48:2,16
2022-7-22 13:48:3,13
2022-7-22 13:48:3,9
2022-7-22 13:48:3,10
2022-7-22 13:48:4,9
2022-7-22 13:48:4,11
2022-7-22 13:48:4,12
2022-7-22 13:48:5,16
2022-7-22 13:48:5,13
2022-7-22 13:48:5,12
2022-7-22 13:48:6,10
2022-7-22 13:48:6,9
2022-7-22 13:48:6,14
2022-7-22 13:48:7,9
2022-7-22 13:48:7,11
2022-7-22 13:48:7,13
2022-7-22 13:48:8,13
2022-7-22 13:48:8,13
2022-7-22 13:48:8,12
2022-7-22 13:48:9,12
2022-7-22 13:48:9,14
2022-7-22 13:48:9,12
2022-7-22 13:48:10,12
2022-7-22 13:48:10,17
2022-7-22 13:48:10,11
2022-7-22 13:48:11,13
2022-7-22 13:48:11,11
2022-7-22 13:48:11,11
2022-7-22 13:48:12,14
2022-7-22 13:48:12,8
2022-7-22 13:48:12,9
2022-7-22 13:48:13,13
2022-7-22 13:48:13,15
2022-7-22 13:48:13,9
2022-7-22 13:48:14,9
2022-7-22 13:48:14,10
2022-7-22 13:48:14,10
2022-7-22 13:48:15,13
2022-7-22 13:48:15,13
2022-7-22 13:48:15,16
2022-7-22 13:48:16,12
2022-7-22 13:48:16,8
2022-7-22 13:48:16,6
2022-7-22 13:48:17,11
2022-7-22 13:48:17,12
2022-7-22 13:48:18,11
2022-7-22 13:48:18,7
2022-7-22 13:48:18,9
2022-7-22 13:48:19,13
2022-7-22 13:48:19,10
2022-7-22 13:48:19,7
2022-7-22 13:48:20,8
2022-7-22 13:48:20,12
2022-7-22 13:48:20,13
2022-7-22 13:48:21,10
2022-7-22 13:48:21,13
2022-7-22 13:48:21,14
2022-7-22 13:48:22,9
2022-7-22 13:48:22,8
2022-7-22 13:48:22,5
2022-7-22 13:48:23,9
2022-7-22 13:48:23,7
2022-7-22 13:48:23,9
2022-7-22 13:48:24,9
2022-7-22 13:48:24,13
2022-7-22 13:48:24,8
2022-7-22 13:48:25,7
2022-7-22 13:48:25,7
2022-7-22 13:48:25,11
2022-7-22 13:48:26,10
2022-7-22 13:48:26,12
2022-7-22 13:48:26,17
2022-7-22 13:48:27,17
2022-7-22 13:48:27,13
2022-7-22 13:48:27,8
2022-7-22 13:48:28,12
2022-7-22 13:48:28,11
2022-7-22 13:48:28,7
2022-7-22 13:48:29,9
2022-7-22 13:48:29,9
2022-7-22 13:48:29,18
2022-7-22 13:48:30,7
2022-7-22 13:48:30,8
2022-7-22 13:48:30,12
2022-7-22 13:48:31,10
2022-7-22 13:48:31,10
2022-7-22 13:48:31,13
2022-7-22 13:48:32,13
2022-7-22 13:48:32,7
2022-7-22 13:48:32,10
2022-7-22 13:48:33,6
2022-7-22 13:48:33,11
2022-7-22 13:48:34,11
2022-7-22 13:48:34,7
2022-7-22 13:48:34,8
2022-7-22 13:48:35,10
2022-7-22 13:48:35,7
2022-7-22 13:48:35,4
2022-7-22 13:48:36,11
2022-7-22 13:48:36,13
2022-7-22 13:48:36,8
2022-7-22 13:48:37,12
2022-7-22 13:48:37,14
2022-7-22 13:48:37,8
2022-7-22 13:48:38,5
2022-7-22 13:48:38,10
2022-7-22 13:48:38,11
2022-7-22 13:48:39,8
2022-7-22 13:48:39,8
2022-7-22 13:48:39,8
2022-7-22 13:48:40,12
2022-7-22 13:48:40,8
2022-7-22 13:48:40,5
2022-7-22 13:48:41,8
2022-7-22 13:48:41,12
2022-7-22 13:48:41,10
2022-7-22 13:48:42,10
2022-7-22 13:48:42,10
2022-7-22 13:48:42,13
2022-7-22 13:48:43,10
2022-7-22 13:48:43,3
2022-7-22 13:48:43,7
2022-7-22 13:48:44,11
2022-7-22 13:48:44,6
2022-7-22 13:48:44,7
2022-7-22 13:48:45,8
2022-7-22 13:48:45,8
2022-7-22 13:48:45,9
2022-7-22 13:48:46,4
2022-7-22 13:48:46,10
2022-7-22 13:48:46,12
2022-7-22 13:48:47,5
2022-7-22 13:48:47,10
2022-7-22 13:48:47,11
2022-7-22 13:48:48,13
2022-7-22 13:48:48,12
2022-7-22 13:48:48,2
2022-7-22 13:48:49,9
2022-7-22 13:48:49,13
2022-7-22 13:48:49,9
2022-7-22 13:48:50,10
2022-7-22 13:48:50,13
2022-7-22 13:48:50,12
2022-7-22 13:48:51,6
2022-7-22 13:48:51,7
2022-7-22 13:48:51,9
2022-7-22 13:48:52,11
2022-7-22 13:48:52,11
2022-7-22 13:48:52,12
2022-7-22 13:48:53,12
2022-7-22 13:48:53,10
2022-7-22 13:48:53,13
2022-7-22 13:48:54,3
2022-7-22 13:48:54,5
2022-7-22 13:48:54,16
2022-7-22 13:48:55,6
2022-7-22 13:48:55,12
2022-7-22 13:48:55,14
2022-7-22 13:48:56,17
2022-7-22 13:48:56,8
2022-7-22 13:48:56,8
2022-7-22 13:48:57,11
2022-7-22 13:48:57,8
2022-7-22 13:48:57,9
2022-7-22 13:48:58,11
2022-7-22 13:48:58,12
2022-7-22 13:48:59,9
2022-7-22 13:48:59,6
2022-7-22 13:48:59,7
2022-7-22 13:49:0,12
2022-7-22 13:49:0,11
2022-7-22 13:49:0,14
2022-7-22 13:49:1,15
2022-7-22 13:49:1,20
2022-7-22 13:49:1,10
2022-7-22 13:49:2,9
2022-7-22 13:49:2,11
2022-7-22 13:49:2,12
2022-7-22 13:49:3,10
2022-7-22 13:49:3,13
2022-7-22 13:49:3,13
2022-7-22 13:49:4,12
2022-7-22 13:49:4,6
2022-7-22 13:49:4,11
2022-7-22 13:49:5,13
2022-7-22 13:49:5,12
2022-7-22 13:49:5,12
2022-7-22 13:49:6,11
2022-7-22 13:49:6,9
2022-7-22 13:49:6,7
2022-7-22 13:49:7,9
2022-7-22 13:49:7,10
2022-7-22 13:49:7,13
2022-7-22 13:49:8,11
2022-7-22 13:49:8,9
2022-7-22 13:49:8,11
2022-7-22 13:49:9,6
2022-7-22 13:49:9,6
2022-7-22 13:49:9,4
2022-7-22 13:49:10,11
2022-7-22 13:49:10,11
2022-7-22 13:49:10,13
2022-7-22 13:49:11,12
2022-7-22 13:49:11,9
2022-7-22 13:49:11,12
2022-7-22 13:49:12,9
2022-7-22 13:49:12,6
2022-7-22 13:49:12,7
2022-7-22 13:49:13,11
2022-7-22 13:49:13,8
2022-7-22 13:49:13,10
2022-7-22 13:49:14,15
2022-7-22 13:49:14,15
2022-7-22 13:49:14,8
2022-7-22 13:49:15,6
2022-7-22 13:49:15,13
2022-7-22 13:49:15,12
2022-7-22 13:49:16,15
2022-7-22 13:49:16,9
2022-7-22 13:49:16,14
2022-7-22 13:49:17,13
2022-7-22 13:49:17,10
2022-7-22 13:49:17,11
2022-7-22 13:49:18,9
2022-7-22 13:49:18,14
2022-7-22 13:49:19,12
2022-7-22 13:49:19,9
2022-7-22 13:49:19,12
2022-7-22 13:49:20,7
2022-7-22 13:49:20,9
2022-7-22 13:49:20,9
2022-7-22 13:49:21,15
2022-7-22 13:49:21,16
2022-7-22 13:49:21,14
2022-7-22 13:49:22,15
2022-7-22 13:49:22,12
2022-7-22 13:49:22,11
2022-7-22 13:49:23,3
2022-7-22 13:49:23,8
2022-7-22 13:49:23,10
2022-7-22 13:49:24,12
2022-7-22 13:49:24,8
2022-7-22 13:49:24,13
2022-7-22 13:49:25,14
2022-7-22 13:49:25,10
2022-7-22 13:49:25,7
2022-7-22 13:49:26,12
2022-7-22 13:49:26,15
2022-7-22 13:49:26,10
2022-7-22 13:49:27,12
2022-7-22 13:49:27,13
2022-7-22 13:49:27,15
2022-7-22 13:49:28,11
2022-7-22 13:49:28,6
2022-7-22 13:49:28,11
2022-7-22 13:49:29,9
2022-7-22 13:49:29,13
2022-7-22 13:49:29,8
2022-7-22 13:49:30,13
2022-7-22 13:49:30,13
2022-7-22 13:49:30,14
2022-7-22 13:49:31,8
2022-7-22 13:49:31,11
2022-7-22 13:49:31,13
2022-7-22 13:49:32,9
2022-7-22 13:49:32,15
2022-7-22 13:49:32,17
2022-7-22 13:49:33,19
2022-7-22 13:49:33,13
2022-7-22 13:49:33,7
2022-7-22 13:49:34,12
2022-7-22 13:49:34,15
2022-7-22 13:49:34,13
2022-7-22 13:49:35,11
2022-7-22 13:49:35,13
2022-7-22 13:49:35,12
2022-7-22 13:49:36,11
2022-7-22 13:49:36,8
2022-7-22 13:49:36,12
2022-7-22 13:49:37,14
2022-7-22 13:49:37,12
2022-7-22 13:49:37,13
2022-7-22 13:49:38,14
2022-7-22 13:49:38,15
2022-7-22 13:49:38,14
2022-7-22 13:49:39,11
2022-7-22 13:49:39,12
2022-7-22 13:49:39,8
2022-7-22 13:49:40,11
2022-7-22 13:49:40,15
2022-7-22 13:49:40,13
2022-7-22 13:49:41,12
2022-7-22 13:49:41,8
2022-7-22 13:49:42,11
2022-7-22 13:49:42,14
2022-7-22 13:49:42,16
2022-7-22 13:49:42,10
2022-7-22 13:49:43,14
2022-7-22 13:49:43,20
2022-7-22 13:49:43,13
2022-7-22 13:49:44,9
2022-7-22 13:49:44,12
2022-7-22 13:49:44,12
2022-7-22 13:49:45,13
2022-7-22 13:49:45,12
2022-7-22 13:49:45,16
2022-7-22 13:49:46,11
2022-7-22 13:49:46,12
2022-7-22 13:49:47,11
2022-7-22 13:49:47,12
2022-7-22 13:49:47,15
2022-7-22 13:49:48,14
2022-7-22 13:49:48,11
2022-7-22 13:49:48,16
2022-7-22 13:49:49,15
2022-7-22 13:49:49,15
2022-7-22 13:49:49,6
2022-7-22 13:49:50,10
2022-7-22 13:49:50,12
2022-7-22 13:49:50,13
2022-7-22 13:49:51,13
2022-7-22 13:49:51,15
2022-7-22 13:49:51,11
2022-7-22 13:49:52,8
2022-7-22 13:49:52,12
2022-7-22 13:49:52,14
2022-7-22 13:49:53,15
2022-7-22 13:49:53,13
2022-7-22 13:49:53,15
2022-7-22 13:49:54,15
2022-7-22 13:49:54,12
2022-7-22 13:49:54,11
2022-7-22 13:49:55,11
2022-7-22 13:49:55,15
2022-7-22 13:49:55,16
2022-7-22 13:49:56,8
2022-7-22 13:49:56,12
2022-7-22 13:49:56,12
2022-7-22 13:49:57,13
2022-7-22 13:49:57,11
2022-7-22 13:49:57,15
2022-7-22 13:49:58,13
2022-7-22 13:49:58,15
2022-7-22 13:49:58,18
2022-7-22 13:49:59,15
2022-7-22 13:49:59,11
2022-7-22 13:50:0,11
2022-7-22 13:50:0,15
2022-7-22 13:50:0,14
2022-7-22 13:50:1,11
2022-7-22 13:50:1,11
2022-7-22 13:50:1,14
2022-7-22 13:50:2,19
2022-7-22 13:50:2,13
2022-7-22 13:50:2,9
2022-7-22 13:50:3,12
2022-7-22 13:50:3,15
2022-7-22 13:50:3,11
2022-7-22 13:50:4,17
2022-7-22 13:50:4,17
2022-7-22 13:50:4,15
2022-7-22 13:50:5,13
2022-7-22 13:50:5,13
2022-7-22 13:50:5,12
2022-7-22 13:50:6,13
2022-7-22 13:50:6,8
2022-7-22 13:50:6,11
2022-7-22 13:50:7,12
2022-7-22 13:50:7,14
2022-7-22 13:50:7,11
2022-7-22 13:50:8,8
2022-7-22 13:50:8,8
2022-7-22 13:50:8,15
2022-7-22 13:50:9,11
2022-7-22 13:50:9,12
2022-7-22 13:50:9,16
2022-7-22 13:50:10,15
2022-7-22 13:50:10,11
2022-7-22 13:50:10,8
2022-7-22 13:50:11,9
2022-7-22 13:50:11,15
2022-7-22 13:50:11,11
2022-7-22 13:50:12,11
2022-7-22 13:50:12,14
2022-7-22 13:50:12,15
2022-7-22 13:50:13,13
2022-7-22 13:50:13,7
2022-7-22 13:50:13,10
2022-7-22 13:50:14,11
2022-7-22 13:50:14,13
2022-7-22 13:50:14,16
2022-7-22 13:50:15,13
2022-7-22 13:50:15,10
2022-7-22 13:50:15,12
2022-7-22 13:50:16,8
2022-7-22 13:50:16,14
2022-7-22 13:50:16,14
2022-7-22 13:50:17,7
2022-7-22 13:50:17,15
2022-7-22 13:50:17,13
2022-7-22 13:50:18,8
2022-7-22 13:50:18,9
2022-7-22 13:50:18,9
2022-7-22 13:50:19,12
2022-7-22 13:50:19,9
2022-7-22 13:50:19,10
2022-7-22 13:50:20,16
2022-7-22 13:50:20,16
2022-7-22 13:50:20,10
2022-7-22 13:50:21,9
2022-7-22 13:50:21,7
2022-7-22 13:50:21,9
2022-7-22 13:50:22,10
2022-7-22 13:50:22,6
2022-7-22 13:50:22,12
2022-7-22 13:50:23,14
2022-7-22 13:50:23,10
2022-7-22 13:50:23,9
2022-7-22 13:50:24,12
2022-7-22 13:50:24,12
2022-7-22 13:50:24,11
2022-7-22 13:50:25,10
2022-7-22 13:50:25,14
2022-7-22 13:50:25,17
2022-7-22 13:50:26,8
2022-7-22 13:50:26,8
2022-7-22 13:50:26,11
2022-7-22 13:50:27,11
2022-7-22 13:50:27,13
2022-7-22 13:50:27,6
2022-7-22 13:50:28,10
2022-7-22 13:50:28,13
2022-7-22 13:50:28,9
2022-7-22 13:50:29,4
2022-7-22 13:50:29,8
2022-7-22 13:50:29,11
2022-7-22 13:50:30,9
2022-7-22 13:50:30,7
