"VISION2_DATA"
"DATA No","DATE","TIME","OLD_BATCH_NO1","OLD_BATCH_NO2","카메라 종합 결과","평탄도 결과","VISION2_DATA_01","VISION2_DATA_02","VISION2_DATA_03","VISION2_DATA_04","VISION2_DATA_05","VISION2_DATA_06","VISION2_DATA_07","VISION2_DATA_08","VISION2_DATA_09","VISION2_DATA_10","VISION2_DATA_11","VISION2_DATA_12","VISION2_DATA_13","VISION2_DATA_14","VISION2_DATA_15","VISION2_DATA_16","VISION2_DATA_17","VISION2_DATA_18","VISION2_DATA_19","VISION2_DATA_20","VISION2_DATA_21","VISION2_DATA_22","VISION2_DATA_23","VISION2_DATA_24","VISION2_DATA_25","VISION2_DATA_26","VISION2_DATA_27","VISION2_DATA_28","VISION2_DATA_29","VISION2_DATA_30","VISION2_DATA_31","VISION2_DATA_32","VISION2_DATA_33","VISION2_DATA_34","VISION2_DATA_35","VISION2_DATA_36","VISION2_DATA_37","VISION2_DATA_38","VISION2_DATA_39","VISION2_DATA_40","VISION2_DATA_41","VISION2_DATA_42","VISION2_DATA_43","VISION2_DATA_44","VISION2_DATA_45","VISION2_DATA_46","VISION2_DATA_47","VISION2_DATA_48","VISION2_DATA_49","VISION2_DATA_50","VISION2_DATA_51","VISION2_DATA_52","VISION2_DATA_53","VISION2_DATA_54","VISION2_DATA_55","VISION2_DATA_56","VISION2_DATA_57","VISION2_DATA_58","VISION2_DATA_59","VISION2_DATA_60","VISION2_DATA_61","VISION2_DATA_62","VISION2_DATA_63","VISION2_DATA_64","VISION2_DATA_65","VISION2_DATA_66","VISION2_DATA_67","VISION2_DATA_68","VISION2_DATA_69","VISION2_DATA_70","VISION2_DATA_71","VISION2_DATA_72","VISION2_DATA_73","VISION2_DATA_74","VISION2_DATA_75","VISION2_DATA_76","VISION2_DATA_77","VISION2_DATA_78","VISION2_DATA_79","VISION2_DATA_80","VISION2_DATA_81","VISION2_DATA_82","VISION2_DATA_83","VISION2_DATA_84","VISION2_DATA_85","VISION2_DATA_86","VISION2_DATA_87","VISION2_DATA_88","VISION2_DATA_89","VISION2_DATA_90","VISION2_DATA_91","VISION2_DATA_92","VISION2_DATA_93","VISION2_DATA_94","VISION2_DATA_95","VISION2_DATA_96","VISION2_DATA_97","VISION2_DATA_98","VISION2_DATA_99","VISION2_DATA_100","VISION2_DATA_101","VISION2_DATA_102","VISION2_DATA_103","VISION2_DATA_104","VISION2_DATA_105","VISION2_DATA_106","VISION2_DATA_107","VISION2_DATA_108","VISION2_DATA_109","VISION2_DATA_110","VISION2_DATA_111","VISION2_DATA_112","VISION2_DATA_113","VISION2_DATA_114","VISION2_DATA_115","VISION2_DATA_116","VISION2_DATA_117","VISION2_DATA_118","VISION2_DATA_119","VISION2_DATA_120","VISION2_DATA_121","VISION2_DATA_122","VISION2_DATA_123","VISION2_DATA_124","VISION2_DATA_125","VISION2_DATA_126","VISION2_DATA_127","VISION2_DATA_128","VISION2_DATA_129","VISION2_DATA_130","VISION2_DATA_131","VISION2_DATA_132","VISION2_DATA_133","VISION2_DATA_134","VISION2_DATA_135","VISION2_DATA_136","VISION2_DATA_137","VISION2_DATA_138","VISION2_DATA_139","VISION2_DATA_140","VISION2_DATA_141","VISION2_DATA_142","VISION2_DATA_143","VISION2_DATA_144","VISION2_DATA_145","VISION2_DATA_146","VISION2_DATA_147","VISION2_DATA_148","VISION2_DATA_149","VISION2_DATA_150","VISION2_DATA_151","VISION2_DATA_152","VISION2_DATA_153","VISION2_DATA_154","VISION2_DATA_155","VISION2_DATA_156","VISION2_DATA_157","VISION2_DATA_158","VISION2_DATA_159","VISION2_DATA_160","VISION2_DATA_161","VISION2_DATA_162","VISION2_DATA_163","VISION2_DATA_164","VISION2_DATA_165","VISION2_DATA_166","VISION2_DATA_167","VISION2_DATA_168","VISION2_DATA_169","VISION2_DATA_170","VISION2_DATA_171","VISION2_DATA_172","VISION2_DATA_173","VISION2_DATA_174","VISION2_DATA_175","VISION2_DATA_176","VISION2_DATA_177","VISION2_DATA_178","VISION2_DATA_179","VISION2_DATA_180","VISION2_DATA_181","VISION2_DATA_182"
10,2022/07/24,13:55:56,"C227220027      ","N227216007      ",1,1,6,6,8,11,11,13,11,11,12,13,13,14,13,12,14,13,13,12,13,11,7,9,11,11,10,9,8,8,10,9,9,6,4,2,3,6,-2,-4,0,15,2,23,24,25,27,28,28,27,28,30,27,28,28,29,27,26,25,26,27,27,26,24,24,24,25,26,24,24,23,23,24,25,23,22,23,21,19,18,15,12,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2022/07/24,13:55:57,"C227220027      ","N227216007      ",1,1,7,9,12,13,14,15,15,15,16,15,17,17,16,15,15,14,14,12,13,12,11,12,10,12,10,11,7,8,8,8,9,6,5,4,4,5,-3,-3,0,20,2,24,24,24,25,28,27,27,29,30,29,30,29,29,29,29,27,28,29,30,26,25,26,26,26,28,25,27,23,24,26,25,24,24,23,21,19,19,17,16,13,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2022/07/24,13:55:58,"C227220027      ","N227216007      ",1,1,6,7,9,12,12,14,12,12,15,13,15,14,15,14,15,13,13,13,15,14,12,12,13,13,11,11,9,10,10,11,9,7,6,2,3,6,-2,-3,0,17,-2,22,22,23,24,26,28,27,28,29,29,30,26,27,25,27,26,27,28,29,29,26,28,27,27,29,27,25,24,27,25,28,25,22,23,20,20,19,16,14,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2022/07/24,13:56:00,"C227220027      ","N227216007      ",1,1,9,9,11,14,15,16,14,16,16,15,17,16,18,16,18,17,14,16,17,16,14,14,16,14,13,14,11,11,12,13,11,9,7,5,5,7,-1,-2,0,18,1,23,23,26,26,27,28,29,29,31,31,30,31,31,28,29,29,30,30,30,30,29,30,28,29,29,28,29,27,28,30,30,28,26,24,21,20,23,21,16,10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2022/07/24,13:56:02,"C227220027      ","N227216007      ",1,1,13,15,17,18,20,22,20,22,22,22,24,24,23,23,24,22,21,21,21,20,19,19,18,18,19,18,16,15,16,18,15,14,13,9,11,13,4,3,5,24,1,21,23,24,24,26,27,27,27,28,30,29,29,28,28,30,28,31,31,30,31,28,30,29,30,29,28,29,27,28,28,30,28,27,27,26,22,23,22,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2022/07/24,13:56:06,"C227220027      ","N227216007      ",1,1,7,8,9,12,13,15,13,14,14,16,19,19,17,18,19,18,17,16,18,16,14,16,16,18,15,14,15,14,15,15,13,10,10,7,7,9,3,2,2,13,4,24,26,27,30,31,35,32,31,37,34,35,35,32,33,34,33,33,34,35,34,32,31,31,32,33,31,31,27,28,30,30,27,28,27,25,24,22,21,20,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2022/07/24,13:56:06,"C227220027      ","N227216007      ",1,1,5,6,7,10,10,11,10,12,13,12,13,12,11,11,13,13,11,11,12,11,9,10,9,10,9,9,6,7,8,8,7,6,4,1,4,5,-2,-3,1,15,3,21,25,25,25,27,27,29,29,30,29,29,29,29,27,29,26,28,28,29,28,27,27,27,28,28,27,27,27,28,26,28,25,25,23,20,20,17,18,16,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2022/07/24,13:56:08,"C227220027      ","N227216007      ",1,1,6,8,8,11,11,13,12,12,12,12,14,14,14,13,14,13,13,12,13,12,10,11,12,11,10,10,8,7,9,9,9,5,4,0,4,6,-2,-6,0,18,1,19,20,22,23,23,24,24,25,26,28,26,24,27,24,24,23,24,24,26,25,24,22,22,23,22,21,21,20,19,20,19,19,20,19,18,16,14,13,11,10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2022/07/24,13:56:11,"C227220027      ","N227216007      ",1,1,4,6,7,9,10,11,8,10,10,9,12,11,11,9,11,11,10,10,11,9,7,8,8,10,7,8,6,6,7,7,6,5,4,2,2,6,-2,-3,0,16,5,21,22,23,22,23,24,25,25,26,24,24,24,26,22,22,23,22,23,23,23,21,21,20,23,23,20,21,20,19,22,22,20,21,21,21,18,14,15,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2022/07/24,13:56:17,"C227220027      ","N227216007      ",1,1,2,3,4,6,7,9,7,8,9,9,11,9,9,9,10,9,9,10,10,8,8,8,8,8,7,6,3,4,6,6,4,3,1,-1,-1,1,-6,-8,-4,13,-5,26,27,28,28,29,30,31,30,32,30,31,30,30,30,29,30,29,29,30,27,27,27,26,28,29,27,26,25,25,27,28,26,26,27,25,23,21,20,18,15,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2022/07/24,13:56:17,"C227220027      ","N227216007      ",1,1,4,6,8,11,11,14,10,12,14,14,15,15,15,15,18,16,14,14,16,15,12,13,13,14,11,12,11,9,11,10,8,6,5,4,3,5,-4,-4,-2,15,-3,27,26,28,29,31,33,33,34,35,33,34,35,34,33,31,31,31,31,34,32,30,31,30,30,30,30,31,28,29,28,32,28,28,30,26,24,23,21,18,14,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022/07/24,13:56:18,"C227220027      ","N227216007      ",1,1,11,13,14,18,19,21,19,21,22,21,23,24,23,23,24,23,24,22,23,22,20,22,24,22,21,20,18,19,19,20,19,17,16,12,14,17,8,6,8,22,4,24,23,25,25,29,29,27,27,28,28,30,29,29,27,27,24,26,27,30,26,25,28,27,25,25,25,24,23,23,23,22,19,20,20,20,18,16,14,11,13,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2022/07/24,13:56:20,"C227220027      ","N227216007      ",1,1,7,7,8,11,12,13,11,12,15,14,16,16,17,15,16,15,16,15,16,14,12,15,13,16,12,13,10,12,13,14,12,10,9,5,8,8,1,-1,2,15,1,19,21,21,22,24,26,24,27,27,27,27,25,25,27,27,26,26,24,27,26,25,25,25,24,25,24,25,23,23,24,26,23,23,23,22,20,19,19,15,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2022/07/24,13:56:22,"C227220027      ","N227216007      ",1,1,8,8,10,12,12,12,11,12,13,12,14,13,14,12,12,13,11,11,13,10,9,9,10,11,9,10,8,8,9,9,9,6,5,1,6,7,0,0,2,21,5,19,22,22,22,23,25,24,25,26,25,25,25,25,24,24,24,23,23,23,21,22,20,22,22,23,22,20,20,21,23,23,21,20,18,18,17,16,15,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
